Categoria,Cultivar,Quantidade (KG),Total_Categoria,Ano
TINTAS,Seibel 2 (seibeleto),0.0,0.0,1975
TINTAS,Seyve Willard (Tinta),0.0,0.0,1975
TINTAS,Vênus,0.0,0.0,1975
BRANCAS E ROSADAS_TOTAL,,0.0,2717527.0,1975
BRANCAS E ROSADAS,Baco,2610.0,0.0,1975
BRANCAS E ROSADAS,Bokay,0.0,0.0,1975
BRANCAS E ROSADAS,BRS Bibiana,0.0,0.0,1975
BRANCAS E ROSADAS,BRS Clara,0.0,0.0,1975
BRANCAS E ROSADAS,BRS Lorena,0.0,0.0,1975
BRANCAS E ROSADAS,Couderc 13,0.0,0.0,1975
BRANCAS E ROSADAS,Delaware,0.0,0.0,1975
BRANCAS E ROSADAS,Dona Zillá,0.0,0.0,1975
BRANCAS E ROSADAS,Dut Chess,0.0,0.0,1975
BRANCAS E ROSADAS,Goethe,280190.0,0.0,1975
BRANCAS E ROSADAS,IAC,0.0,0.0,1975
BRANCAS E ROSADAS,Juliana,0.0,0.0,1975
BRANCAS E ROSADAS,Martha,13578.0,0.0,1975
BRANCAS E ROSADAS,Mistura de uvas americanas,0.0,0.0,1975
BRANCAS E ROSADAS,Moscato Embrapa,0.0,0.0,1975
BRANCAS E ROSADAS,Niagara,2409319.0,0.0,1975
BRANCAS E ROSADAS,Niagara Branca,0.0,0.0,1975
BRANCAS E ROSADAS,Niagara Rosada,0.0,0.0,1975
BRANCAS E ROSADAS,Poloske,0.0,0.0,1975
BRANCAS E ROSADAS,Seleções,0.0,0.0,1975
BRANCAS E ROSADAS,Seyve Villard,11830.0,0.0,1975
BRANCAS E ROSADAS,Seyve Villard 5276,0.0,0.0,1975
BRANCAS E ROSADAS,Seyve Villard 12375,0.0,0.0,1975
BRANCAS E ROSADAS,Tardia de Caxias,0.0,0.0,1975
BRANCAS E ROSADAS,Outras(2),0.0,0.0,1975
TINTAS_TOTAL,,0.0,222289729.0,1976
TINTAS,Bacarina,57297.0,0.0,1976
TINTAS,Bailey,0.0,0.0,1976
TINTAS,Bordo,12725233.0,0.0,1976
TINTAS,Bourdin (S),0.0,0.0,1976
TINTAS,BRS Carmen,0.0,0.0,1976
TINTAS,BRS Cora,0.0,0.0,1976
TINTAS,BRS Magna,0.0,0.0,1976
TINTAS,BRS Margot,0.0,0.0,1976
TINTAS,BRS Morena,0.0,0.0,1976
TINTAS,BRS Núbia,0.0,0.0,1976
TINTAS,BRS Rúbea,0.0,0.0,1976
TINTAS,BRS Violeta,0.0,0.0,1976
TINTAS,BRS Vitória,0.0,0.0,1976
TINTAS,Champagnon (Champanheta),0.0,0.0,1976
TINTAS,Coleções,0.0,0.0,1976
TINTAS,Concord,6140559.0,0.0,1976
TINTAS,Concord clone 30,0.0,0.0,1976
TINTAS,Couderc,4084126.0,0.0,1976
TINTAS,Cynthiana(1),351881.0,0.0,1976
TINTAS,Herbemont,41938949.0,0.0,1976
TINTAS,IAC 138022,0.0,0.0,1976
TINTAS,Isabel,146746340.0,0.0,1976
TINTAS,Isabel Precoce,0.0,0.0,1976
TINTAS,Jacquez,495973.0,0.0,1976
TINTAS,Kyoko,0.0,0.0,1976
TINTAS,Landot,87904.0,0.0,1976
TINTAS,Mistura de uvas americanas tinto,0.0,0.0,1976
TINTAS,Oberlin,10611.0,0.0,1976
TINTAS,Othello,77044.0,0.0,1976
TINTAS,Paco,0.0,0.0,1976
TINTAS,Patricia,0.0,0.0,1976
TINTAS,Seibel,9573812.0,0.0,1976
TINTAS,Seibel 2 (seibeleto),0.0,0.0,1976
TINTAS,Seyve Willard (Tinta),0.0,0.0,1976
TINTAS,Vênus,0.0,0.0,1976
BRANCAS E ROSADAS_TOTAL,,0.0,1269187.0,1976
BRANCAS E ROSADAS,Baco,4172.0,0.0,1976
BRANCAS E ROSADAS,Bokay,0.0,0.0,1976
BRANCAS E ROSADAS,BRS Bibiana,0.0,0.0,1976
BRANCAS E ROSADAS,BRS Clara,0.0,0.0,1976
BRANCAS E ROSADAS,BRS Lorena,0.0,0.0,1976
BRANCAS E ROSADAS,Couderc 13,0.0,0.0,1976
BRANCAS E ROSADAS,Delaware,0.0,0.0,1976
BRANCAS E ROSADAS,Dona Zillá,0.0,0.0,1976
BRANCAS E ROSADAS,Dut Chess,0.0,0.0,1976
BRANCAS E ROSADAS,Goethe,228609.0,0.0,1976
BRANCAS E ROSADAS,IAC,0.0,0.0,1976
BRANCAS E ROSADAS,Juliana,0.0,0.0,1976
BRANCAS E ROSADAS,Martha,1108.0,0.0,1976
BRANCAS E ROSADAS,Mistura de uvas americanas,0.0,0.0,1976
BRANCAS E ROSADAS,Moscato Embrapa,0.0,0.0,1976
BRANCAS E ROSADAS,Niagara,1035298.0,0.0,1976
BRANCAS E ROSADAS,Niagara Branca,0.0,0.0,1976
BRANCAS E ROSADAS,Niagara Rosada,0.0,0.0,1976
BRANCAS E ROSADAS,Poloske,0.0,0.0,1976
BRANCAS E ROSADAS,Seleções,0.0,0.0,1976
BRANCAS E ROSADAS,Seyve Villard,0.0,0.0,1976
BRANCAS E ROSADAS,Seyve Villard 5276,0.0,0.0,1976
BRANCAS E ROSADAS,Seyve Villard 12375,0.0,0.0,1976
BRANCAS E ROSADAS,Tardia de Caxias,0.0,0.0,1976
BRANCAS E ROSADAS,Outras(2),0.0,0.0,1976
TINTAS_TOTAL,,0.0,272772106.0,1977
TINTAS,Bacarina,0.0,0.0,1977
